"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","E","A","GDNF","GFRA1_RET",6.76587101811102e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"2","F","A","GDNF","GFRA1_RET",8.32759997211274e-06,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"3","C","B","GDNF","GFRA1_RET",6.24658032817831e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"4","D","B","GDNF","GFRA1_RET",5.95347502542505e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"5","E","B","GDNF","GFRA1_RET",8.50954686023927e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"6","F","B","GDNF","GFRA1_RET",1.04737366640085e-05,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"7","B","C","GDNF","GFRA1_RET",6.24642813558026e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"8","C","C","GDNF","GFRA1_RET",7.82571691524181e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"9","D","C","GDNF","GFRA1_RET",7.45851454679805e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"10","E","C","GDNF","GFRA1_RET",1.06607617169108e-07,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"11","F","C","GDNF","GFRA1_RET",1.31214645683727e-05,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"12","B","D","GDNF","GFRA1_RET",5.95347502542503e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
"13","C","D","GDNF","GFRA1_RET",7.45869627156426e-08,0,"GDNF_GFRA1","GDNF - GFRA1","GDNF","Secreted Signaling","PMID: 11544105"
