"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","CD14","CD4T","TGFB1","TGFbR1_R2",3.83012024476764e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","FGR3","CD4T","TGFB1","TGFbR1_R2",4.73565101311596e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","CD4T","CD14","TGFB1","TGFbR1_R2",2.28160337096968e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","CD14","CD14","TGFB1","TGFbR1_R2",3.12654931178274e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","B","CD14","TGFB1","TGFbR1_R2",5.97034440594821e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","NK","CD14","TGFB1","TGFbR1_R2",5.57065626885985e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","CD8T","CD14","TGFB1","TGFbR1_R2",2.46574943704392e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","FGR3","CD14","TGFB1","TGFbR1_R2",3.86571425078186e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","DCs","CD14","TGFB1","TGFbR1_R2",1.1259796245672e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","CD14","B","TGFB1","TGFbR1_R2",1.13990988156696e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","FGR3","B","TGFB1","TGFbR1_R2",1.40940894330658e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","DCs","B","TGFB1","TGFbR1_R2",4.10516152466061e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","CD14","NK","TGFB1","TGFbR1_R2",1.04572061212078e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"14","FGR3","NK","TGFB1","TGFbR1_R2",1.29295160535915e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"15","DCs","NK","TGFB1","TGFbR1_R2",3.76595510161404e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"16","CD14","CD8T","TGFB1","TGFbR1_R2",3.95472309217655e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"17","FGR3","CD8T","TGFB1","TGFbR1_R2",4.88971276880822e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"18","CD4T","FGR3","TGFB1","TGFbR1_R2",2.56659165770275e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"19","CD14","FGR3","TGFB1","TGFbR1_R2",3.51706455200193e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"20","B","FGR3","TGFB1","TGFbR1_R2",6.71607926297926e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"21","NK","FGR3","TGFB1","TGFbR1_R2",6.26646779048798e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"22","CD8T","FGR3","TGFB1","TGFbR1_R2",2.77373879707942e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"23","FGR3","FGR3","TGFB1","TGFbR1_R2",4.34854936001606e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"24","DCs","FGR3","TGFB1","TGFbR1_R2",1.26662096830672e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"25","CD14","DCs","TGFB1","TGFbR1_R2",2.1019262104311e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"26","B","DCs","TGFB1","TGFbR1_R2",4.01372829051983e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"27","NK","DCs","TGFB1","TGFbR1_R2",3.74502645278537e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"28","FGR3","DCs","TGFB1","TGFbR1_R2",2.59886058718398e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"29","DCs","DCs","TGFB1","TGFbR1_R2",7.56972093325178e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"30","CD14","CD4T","TGFB2","TGFbR1_R2",5.4716183072384e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"31","FGR3","CD4T","TGFB2","TGFbR1_R2",6.76524318614182e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"32","CD4T","CD14","TGFB2","TGFbR1_R2",3.25943975949152e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"33","CD14","CD14","TGFB2","TGFbR1_R2",4.46661866323569e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"34","B","CD14","TGFB2","TGFbR1_R2",8.5291070721401e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"35","NK","CD14","TGFB2","TGFbR1_R2",7.95811836961353e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"36","CD8T","CD14","TGFB2","TGFbR1_R2",3.52250663810353e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"37","FGR3","CD14","TGFB2","TGFbR1_R2",5.52263184099206e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"38","DCs","CD14","TGFB2","TGFbR1_R2",1.6085578391853e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
