id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	B|B	B|CD14	B|CD4T	B|CD8T	B|DCs	B|FGR3	B|Mega	B|NK	CD14|B	CD14|CD14	CD14|CD4T	CD14|CD8T	CD14|DCs	CD14|FGR3	CD14|Mega	CD14|NK	CD4T|B	CD4T|CD14	CD4T|CD4T	CD4T|CD8T	CD4T|DCs	CD4T|FGR3	CD4T|NK	CD8T|CD14	CD8T|CD4T	CD8T|CD8T	CD8T|DCs	CD8T|FGR3	CD8T|Mega	CD8T|NK	DCs|B	DCs|CD14	DCs|CD4T	DCs|CD8T	DCs|DCs	DCs|FGR3	DCs|Mega	DCs|NK	FGR3|B	FGR3|CD14	FGR3|CD4T	FGR3|CD8T	FGR3|DCs	FGR3|FGR3	FGR3|Mega	FGR3|NK	Mega|B	Mega|CD14	Mega|CD4T	Mega|CD8T	Mega|DCs	Mega|FGR3	Mega|NK	NK|B	NK|CD14	NK|CD4T	NK|CD8T	NK|DCs	NK|FGR3	NK|Mega	NK|NK
CPI-SS09C4FCB90	ICAM1_SPN	simple:P05362	simple:P16150	ICAM1	SPN	False	True	False	curated	False	Adhesion-Adhesion	Adhesion by ICAM	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS080C81D37	APP_CD74	simple:P05067	simple:P04233	APP	CD74	False	False	True	curated	False	Ligand-Receptor	Signaling by Amyloid-beta precursor protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
CPI-SS0F66EA6BE	APP_FPR2	simple:P05067	simple:P25090	APP	FPR2	False	False	True	curated	False	Ligand-Receptor	Signaling by Amyloid-beta precursor protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CPI-SS030BB46BB	ANXA1_FPR2	simple:P04083	simple:P25090	ANXA1	FPR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Annexin	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ANXA1	FPR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Annexin	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
CPI-SS06CCF5A54	ANXA1_FPR3	simple:P04083	simple:P25089	ANXA1	FPR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Annexin	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0
CPI-SS0EEECE1C4	HEBP1_FPR3	simple:Q9NRV9	simple:P25089	HEBP1	FPR3	False	False	True	curated	False	Ligand-Receptor		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS08DA48A5A	CCL3_CCR1	simple:P10147	simple:P32246	CCL3	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	CCL5	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
CPI-SS02CC53E89	CCL7_CCR1	simple:P80098	simple:P32246	CCL7	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS087054090	CCL8_CCR1	simple:P80075	simple:P32246	CCL8	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
CPI-SS0C090A257	CCL3_CCR5	simple:P10147	simple:P51681	CCL3	CCR5	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0
CPI-SS0D1D95883	CCL4_CCR5	simple:P13236	simple:P51681	CCL4	CCR5	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
CPI-SS0B01D306C	CCL5_CCR5	simple:P13501	simple:P51681	CCL5	CCR5	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
CPI-SS09C16258E	CCL7_CCR5	simple:P80098	simple:P51681	CCL7	CCR5	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0C30EC0DE	CCL8_CCR5	simple:P80075	simple:P51681	CCL8	CCR5	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0
CPI-SS080683E15	CXCL10_CXCR3	simple:P02778	simple:P49682	CXCL10	CXCR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1
CPI-SS09FAC4977	CXCL11_CXCR3	simple:O14625	simple:P49682	CXCL11	CXCR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
