"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","B","Macrophages","TGFB1","TGFbR1_R2",0.000775515843793632,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Macrophages","Macrophages","TGFB1","TGFbR1_R2",0.000570157399710248,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","NK","Macrophages","TGFB1","TGFbR1_R2",0.000844553599549622,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","T","Macrophages","TGFB1","TGFbR1_R2",0.000779735639827112,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","B","Macrophages","TGFB2","TGFbR1_R2",0.000110860566116002,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Macrophages","Macrophages","TGFB2","TGFbR1_R2",8.17147085042874e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","NK","Macrophages","TGFB2","TGFbR1_R2",0.000120736611621866,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","T","Macrophages","TGFB2","TGFbR1_R2",0.000111464188191231,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Macrophages","Macrophages","TGFB3","TGFbR1_R2",0.000209634248055277,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","B","Macrophages","TGFB1","ACVR1B_TGFbR2",0.00170410187022635,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"11","Macrophages","Macrophages","TGFB1","ACVR1B_TGFbR2",0.00125316767622355,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"12","NK","Macrophages","TGFB1","ACVR1B_TGFbR2",0.00185565263551153,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"13","T","Macrophages","TGFB1","ACVR1B_TGFbR2",0.00171336578871535,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"14","mDC","Macrophages","TGFB1","ACVR1B_TGFbR2",0.000950882185916061,0.02,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"15","B","Macrophages","TGFB2","ACVR1B_TGFbR2",0.000243793890741851,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"16","Macrophages","Macrophages","TGFB2","ACVR1B_TGFbR2",0.000179705564663063,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"17","NK","Macrophages","TGFB2","ACVR1B_TGFbR2",0.000265509240187196,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"18","T","Macrophages","TGFB2","ACVR1B_TGFbR2",0.0002451211427987,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"19","mDC","Macrophages","TGFB2","ACVR1B_TGFbR2",0.000135949454814682,0.03,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"20","Macrophages","Macrophages","TGFB3","ACVR1B_TGFbR2",0.00046095534748212,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"21","B","Macrophages","TGFB1","ACVR1_TGFbR",0.00016170211414645,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"22","Macrophages","Macrophages","TGFB1","ACVR1_TGFbR",0.000117132144332021,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"23","NK","Macrophages","TGFB1","ACVR1_TGFbR",0.000176116380576601,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"24","T","Macrophages","TGFB1","ACVR1_TGFbR",0.000162586306630453,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"25","B","Macrophages","TGFB2","ACVR1_TGFbR",2.31035042084711e-05,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"26","Macrophages","Macrophages","TGFB2","ACVR1_TGFbR",1.67810517442338e-05,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"27","NK","Macrophages","TGFB2","ACVR1_TGFbR",2.51632815104255e-05,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"28","T","Macrophages","TGFB2","ACVR1_TGFbR",2.32298525380026e-05,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"29","Macrophages","Macrophages","TGFB3","ACVR1_TGFbR",4.30550103660168e-05,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"30","Epithelial","Macrophages","BMP2","BMPR1B_ACVR2A",2.29375488460772e-05,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"31","Macrophages","Macrophages","BMP2","BMPR1B_ACVR2A",1.80539455190534e-05,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"32","Epithelial","Epithelial","BMP2","BMPR1B_ACVR2B",1.13363487420903e-05,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"33","Macrophages","Epithelial","BMP2","BMPR1B_ACVR2B",8.92271591687281e-06,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"34","Epithelial","Macrophages","BMP2","BMPR1B_ACVR2B",1.19698641577601e-05,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
