"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Macrophages","Macrophages","TGFB1","TGFbR1_R2",0.00638914867461314,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Macrophages","Macrophages","TGFB2","TGFbR1_R2",0.000919082761394275,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","B","Macrophages","TGFB3","TGFbR1_R2",0.00125853724317222,0.02,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Macrophages","Macrophages","TGFB3","TGFbR1_R2",0.00163393603747342,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","pDC","Macrophages","TGFB3","TGFbR1_R2",0.00134700963961685,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Macrophages","Macrophages","TGFB1","ACVR1B_TGFbR2",0.00641820874410447,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"7","pDC","Macrophages","TGFB1","ACVR1B_TGFbR2",0.0042907361567409,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"8","Macrophages","Macrophages","TGFB2","ACVR1B_TGFbR2",0.000923282736129399,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"9","pDC","Macrophages","TGFB2","ACVR1B_TGFbR2",0.000615048859884373,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","B","Macrophages","TGFB3","ACVR1B_TGFbR2",0.00126428624943598,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"11","Macrophages","Macrophages","TGFB3","ACVR1B_TGFbR2",0.00164139814081189,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"12","T","Macrophages","TGFB3","ACVR1B_TGFbR2",0.0010229426728889,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"13","pDC","Macrophages","TGFB3","ACVR1B_TGFbR2",0.00135316228523117,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"14","Macrophages","Macrophages","TGFB1","ACVR1_TGFbR",0.00123967241896724,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"15","pDC","Macrophages","TGFB1","ACVR1_TGFbR",0.000896741571099226,0.03,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"16","Macrophages","Macrophages","TGFB2","ACVR1_TGFbR",0.000177685077139386,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"17","pDC","Macrophages","TGFB2","ACVR1_TGFbR",0.000128204481260986,0.04,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"18","B","Macrophages","TGFB3","ACVR1_TGFbR",0.000263727832920321,0.01,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"19","Macrophages","Macrophages","TGFB3","ACVR1_TGFbR",0.000316035542414787,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"20","pDC","Macrophages","TGFB3","ACVR1_TGFbR",0.000282210090221545,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"21","B","Epithelial","BMP2","BMPR1A_ACVR2A",6.50975834238414e-07,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"22","Epithelial","Epithelial","BMP2","BMPR1A_ACVR2A",6.23484496737958e-06,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"23","Macrophages","Epithelial","BMP2","BMPR1A_ACVR2A",1.23152098322154e-05,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"24","NK","Epithelial","BMP2","BMPR1A_ACVR2A",7.76874352260213e-07,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"25","Plasma","Epithelial","BMP2","BMPR1A_ACVR2A",3.00453763950855e-07,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"26","T","Epithelial","BMP2","BMPR1A_ACVR2A",7.82685995942357e-07,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"27","mDC","Epithelial","BMP2","BMPR1A_ACVR2A",8.31287445875646e-07,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"28","pDC","Epithelial","BMP2","BMPR1A_ACVR2A",6.42637159391996e-06,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"29","B","Epithelial","BMP2","BMPR1A_ACVR2B",5.78812553893588e-07,0,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
